"Email Address","Адрес электронной почты"
"Continue Shopping","Продолжить покупки"
"My Account","Мой аккаунт"
"Payment Method","Способ оплаты"
"Place Order","Разместить заказ"
Apply,Применить
Cancel,Отмена
"Shipping Address","Адрес доставки"
"Shipping Method","Метод доставки"
"New Address","Новый адрес"
General,Главная
"Enable Module?","Включить модуль?"
"Show discount form?","Показать форму скидок?"
"Show comment field?","Показать поле комментариев?"
"Show Subscribe to Newsletter?","Показать Подписаться на рассылку?"
"Assign order to customer if customer were not logged in (by email)?","Присвоить заказ клиенту, если клиент не был зарегистрирован (по электронной почте)?"
"Order Comment","Комментарий к заказу"
"Optional comment for this order","Необязательный комментарий к заказу"
"Sign Up for Our Newsletter","Подписаться на нашу рассылку"
