"Email Address",電子郵件地址
"Continue Shopping",繼續購物
"My Account",我的帳戶
"Payment Method",付款方法
"Place Order",下訂單
Apply,應用
Cancel,取消
"Shipping Address",郵寄地址
"Shipping Method",郵寄方式
"New Address",新地址
General,一般
"Enable Module?",啟用模塊？
"Show discount form?",顯示折扣表單？
"Show comment field?",顯示評論字段？
"Show Subscribe to Newsletter?",顯示訂閱電子報？
"Assign order to customer if customer were not logged in (by email)?",如果客戶沒有登錄（通過電子郵件），向客戶分配訂單？
"Order Comment",订单备注
"Optional comment for this order",订单可选备注
"Sign Up for Our Newsletter",订阅我们的电子报
