"%1 - All Methods","%1 - Wszystkie metody"
"%1 item(s)","%1 szt."
"Add Mapping","Dodaj mapowanie"
"Add products to the cart to continue.","Dodaj produkty do koszyka, aby kontynuować."
"All Shipping Methods","Wszystkie metody dostawy"
"Allowed Payment Method","Dozwolona metoda płatności"
"Back to Cart","Wróć do koszyka"
"Complete your purchase details below.","Uzupełnij poniższe dane, aby sfinalizować zamówienie."
"Default Configurations","Konfiguracja domyślna"
"Edit Cart","Edytuj koszyk"
"Enable Module?","Włączyć moduł?"
"Go to Cart","Przejdź do koszyka"
"Good news: We have restored your cart items so you can retry checkout without adding products again.","Dobra wiadomość: przywróciliśmy produkty w Twoim koszyku, więc możesz ponowić próbę zakupu bez ponownego ich dodawania."
"Loading checkout...","Ładowanie procesu zamówienia..."
"No keeps the current one-step layout. Yes uses Magento's native Shipping and Review & Payments navigation with the same Fastcheckout styling.","Opcja „Nie” zachowuje obecny układ jednoetapowy. Opcja „Tak” używa natywnych kroków Magento „Dostawa” oraz „Podsumowanie i płatność”, zachowując styl Fastcheckout."
"No keeps agreements, newsletter and comment inside the order summary. Yes shows agreements and newsletter in a separate card without a heading and the comment in its own card.","Opcja „Nie” zachowuje zgody, newsletter i komentarz w standardowym układzie. Opcja „Tak” wyświetla zgody i newsletter w osobnym bloku bez nagłówka, a komentarz w osobnym bloku."
"No keeps the button inside the order summary. Yes shows it directly on the checkout background. This setting applies to the one-step layout.","Opcja „Nie” zachowuje przycisk wewnątrz podsumowania zamówienia. Opcja „Tak” wyświetla go bezpośrednio na tle checkoutu. Ustawienie dotyczy układu jednokrokowego."
"Optional comment for this order","Opcjonalny komentarz do zamówienia"
Order:,Zamówienie:
"Payment Failed","Płatność nie powiodła się"
"Payment Methods by Shipping Method","Metody płatności według metody dostawy"
"Please enter your shipping address details to estimate shipping rates.","Wpisz adres dostawy, aby obliczyć koszty dostawy."
Reason:,Powód:
"Retry Checkout","Ponów próbę zakupu"
"Secure SSL Checkout","Bezpieczna płatność SSL"
"Shipping methods may use wildcard entries such as carrier_*. Payment methods must be selected by exact method code.","Metody dostawy mogą używać masek, np. carrier_*. Metody płatności muszą być wybrane po dokładnym kodzie."
"Show Subscribe to Newsletter?","Pokazać zapis do newslettera?"
"Show comment field?","Pokazać pole komentarza?"
"Show discount form?","Pokazać formularz rabatu?"
"Sign Up for Our Newsletter","Zapisz się do naszego newslettera"
"Something went wrong while processing your payment. Please try again.","Coś poszło nie tak podczas przetwarzania płatności. Spróbuj ponownie."
"Subscribe by Default?","Domyślnie zaznaczyć zapis do newslettera?"
"Thank You!",Dziękujemy!
"The payment method is missing. Select the payment method and try again.","Brakuje metody płatności. Wybierz metodę płatności i spróbuj ponownie."
"Use Magento two-step checkout flow?","Użyć natywnego, dwuetapowego procesu składania zamówienia Magento?"
"Show Place Order outside the order summary container?","Wyświetlić „Złóż zamówienie” poza kontenerem podsumowania?"
"Use separate checkout extras layout?","Użyć osobnego układu dodatków checkoutu?"
"Your cart is empty.","Twój koszyk jest pusty."
"Your order %s has been placed. You will receive an email with more details of your purchase.","Twoje zamówienie %s zostało złożone. Otrzymasz wiadomość e-mail ze szczegółami zakupu."
