"Email Address","Adresse e-mail"
"Continue Shopping","Continuer vos achats"
"My Account","Mon compte"
"Payment Method","Mode de paiement"
"Place Order","Passer la commande"
Apply,Appliquer
Cancel,Annuler
"Shipping Address","Adresse de livraison"
"Shipping Method","Méthode d'envoi"
"New Address","Nouvelle adresse"
General,Général
"Enable Module?","Activer le module?"
"Show discount form?","Afficher le formulaire de remise?"
"Show comment field?","Afficher le champ de commentaire?"
"Show Subscribe to Newsletter?","Afficher Inscription à la newsletter?"
"Assign order to customer if customer were not logged in (by email)?","Attribuer une commande au client si le client n'était pas connecté (par courrier électronique)?"
"Order Comment","Commentaire de commande"
"Optional comment for this order","Commentaire facultatif pour cette commande"
"Sign Up for Our Newsletter","S'inscrire à notre newsletter"
