"Email Address",E-Mail-Addresse
"Continue Shopping","Mit dem Einkaufen fortfahren"
"My Account","Mein Konto"
"Payment Method",Bezahlverfahren
"Place Order","Bestellung aufgeben"
Apply,"Sich bewerben"
Cancel,Stornieren
"Shipping Address",Lieferanschrift
"Shipping Method",Versandart
"New Address","Neue Adresse"
General,Allgemeines
"Enable Module?","Modul aktivieren?"
"Show discount form?","Rabattformular anzeigen?"
"Show comment field?","Kommentarfeld anzeigen?"
"Show Subscribe to Newsletter?","Anzeigen Newsletter abonnieren?"
"Assign order to customer if customer were not logged in (by email)?","Auftrag dem Kunden zuordnen, wenn der Kunde nicht eingeloggt ist (per E-Mail)?"
"Order Comment",Bestellkommentar
"Optional comment for this order","Optionaler Kommentar zu dieser Bestellung"
"Sign Up for Our Newsletter","Für unseren Newsletter anmelden"
