"Email Address","Dirección de correo electrónico"
"Continue Shopping","Seguir comprando"
"My Account","Mi cuenta"
"Payment Method","Método de pago"
"Place Order","Realizar pedido"
Apply,Aplicar
Cancel,Cancelar
"Shipping Address","Dirección de Envío"
"Shipping Method","Método de envío"
"New Address","Nueva direccion"
"Enable Module?","Habilitar el módulo?"
"Show discount form?","Mostrar formulario de descuento?"
"Show comment field?","Mostrar campo de comentarios?"
"Show Subscribe to Newsletter?","Mostrar suscribirse al boletín de noticias?"
"Assign order to customer if customer were not logged in (by email)?","¿Asignar orden al cliente si el cliente no inició sesión (por correo electrónico)?"
"Order Comment","Comentario del pedido"
"Optional comment for this order","Comentario opcional para este pedido"
"Sign Up for Our Newsletter","Suscríbete a nuestro boletín"
